,Cities,Longitude,Latitude,Temperature,Country,Cloudines,Humidity,Wind Speed
431,Richards Bay,32.04,-28.78,23.59,ZA,71,68,6.29
432,Sokolovo,84.79,52.53,2.48,RU,96,75,7.02
433,Mil'kovo,158.62,54.72,1.64,RU,100,86,1.29
434,Mehamn,27.85,71.04,2.79,NO,100,91,11.61
435,Sumbe,13.84,-11.21,24.19,AO,95,83,2.06
436,La Paz,-68.15,-16.5,6.0,BO,40,75,2.6
437,Lüderitz,15.16,-26.65,16.55,NA,2,72,3.75
438,Kerman,57.08,30.28,13.0,IR,0,30,2.1
439,San Isidro,-77.05,-12.12,16.81,PE,90,77,5.1
440,Teluknaga,106.64,-6.1,33.43,ID,20,52,4.6
441,Sistranda,8.83,63.73,2.0,NO,0,69,5.1
442,George,22.46,-33.96,18.0,ZA,90,100,2.1
443,Riviere-au-Renard,-64.4,49.0,7.0,CA,90,81,5.1
444,Katsuura,140.3,35.13,19.79,JP,20,52,1.5
445,Vanino,140.25,49.09,4.85,RU,100,93,5.4
446,Pahrump,-115.98,36.21,14.61,US,75,35,1.71
447,Koungou,45.2,-12.73,23.0,YT,26,94,5.7
448,Wilmington,-77.94,34.23,18.47,US,90,93,1.42
449,Zhigansk,123.37,66.77,-8.55,RU,0,93,6.91
450,Galle,80.22,6.04,28.35,LK,81,75,5.45
451,Abu Samrah,37.18,35.3,25.82,SY,0,18,2.09
452,Egvekinot,-179.17,66.32,-5.92,RU,13,97,4.18
453,Kodino,39.64,63.72,0.48,RU,100,96,4.44
454,Winnemucca,-117.74,40.97,5.0,US,1,25,4.1
455,Bathsheba,-59.52,13.22,28.0,BB,40,74,11.3
456,Yumen,97.2,40.28,15.82,CN,0,25,2.31
457,San Juan Bautista,-75.74,-14.01,16.52,PE,0,82,3.6
458,Buin,-70.75,-33.73,12.09,CL,0,76,3.1
459,Ambon City,128.18,-3.7,32.0,ID,40,66,3.1
460,Sola,167.55,-13.88,26.94,VU,81,81,8.32
461,Mareeba,145.43,-17.0,29.49,AU,60,62,4.1
462,Lakhdenpokh'ya,30.2,61.52,0.0,RU,0,89,4.37
463,Zhangaözen,52.8,43.3,14.41,KZ,18,52,5.83
464,Ust-Nera,143.2,64.57,-5.52,RU,96,92,1.87
465,Flin Flon,-101.86,54.77,-6.04,CA,99,92,3.41
466,Nālūt,10.85,30.33,19.39,LY,0,27,3.76
467,Majene,118.97,-3.54,30.36,ID,58,66,3.03
468,Londonderry,-7.31,55.0,7.95,GB,100,87,4.45
469,Chui,-53.46,-33.7,16.05,UY,74,98,1.05
470,Omboué,9.26,-1.57,24.91,GA,100,87,3.42
471,Bulancak,38.23,40.94,15.0,TR,20,100,1.0
472,Vestmannaeyjar,-20.27,63.44,6.43,IS,100,74,7.38
473,Namie,141.0,37.48,15.55,JP,20,58,4.6
474,Rādhanpur,71.6,23.83,32.17,IN,0,25,2.08
475,Pisco,-76.22,-13.7,16.62,PE,0,82,3.6
476,Jackson,-122.83,42.42,12.54,US,66,48,0.19
477,Asilah,-6.03,35.47,14.0,MA,40,87,2.6
478,Taltal,-70.48,-25.4,13.32,CL,23,75,0.4
479,Salekhard,66.6,66.53,-8.01,RU,72,94,2.76
480,Agüimes,-15.45,27.91,19.37,ES,20,64,6.2
481,Kholtoson,103.31,50.3,8.33,RU,45,51,1.29
482,Geraldton,114.6,-28.77,32.0,AU,0,21,7.7
483,Vanimo,141.3,-2.67,29.89,PG,41,65,2.93
484,Pitimbu,-34.81,-7.47,25.0,BR,75,88,3.6
485,Suruç,38.42,36.98,19.0,TR,0,19,4.1
486,Quzhou,118.87,28.96,17.64,CN,87,53,4.54
487,Ashland,-82.27,40.82,9.23,US,90,100,5.1
488,Mahon,4.27,39.89,15.0,ES,0,87,3.1
489,Alberton,-64.07,46.82,8.43,CA,16,83,5.94
490,Ponta Delgada,-25.67,37.73,19.0,PT,75,82,6.2
491,Zhireken,117.31,52.82,5.48,RU,0,63,0.72
492,Shingū,135.98,33.73,19.0,JP,20,48,5.7
493,Eston,-108.75,51.15,-8.27,CA,90,85,3.6
494,Ceuta,-5.31,35.89,14.5,ES,0,93,1.5
495,Tingo María,-76.01,-9.29,19.75,PE,23,83,0.88
496,Margate,1.39,51.38,11.26,GB,45,93,1.34
497,Port Hawkesbury,-61.35,45.62,7.44,CA,1,93,3.6
498,Manono,27.42,-7.3,24.35,CD,75,80,1.69
499,Straumen,11.3,63.87,-0.7,NO,0,92,4.6
500,Zhanakorgan,67.25,43.91,8.51,KZ,94,49,1.6
501,South Kazakhstan Region,68.0,43.0,9.22,KZ,100,48,1.94
502,Haines Junction,-137.51,60.75,-6.3,CA,100,83,0.66
503,Christiansburg,-80.41,37.13,14.45,US,1,100,1.7
504,Havelock,-76.9,34.88,19.58,US,75,93,0.94
505,Nueva Concepción,-91.3,14.2,18.72,GT,99,99,1.56
506,Acaraú,-40.12,-2.89,26.44,BR,37,78,6.84
507,Dourbali,15.86,11.81,27.17,TD,43,22,3.47
508,Sal Rei,-22.92,16.18,25.0,CV,40,78,7.2
509,Salinópolis,-47.36,-0.61,25.8,BR,15,83,4.7
510,Nemuro,145.57,43.32,14.0,JP,20,47,7.7
511,Port Keats,129.55,-14.25,31.48,AU,52,58,4.91
512,Porto Belo,-48.55,-27.16,20.59,BR,93,73,1.79
513,Shahr-e Bābak,55.12,30.12,16.15,IR,0,30,4.59
514,Kangaatsiaq,-53.46,68.31,-1.77,GL,86,93,2.14
515,Reconquista,-59.65,-29.15,20.03,AR,56,97,1.82
516,Salas,-6.26,43.41,13.27,ES,0,58,3.1
517,Aksu,80.26,41.12,16.99,CN,45,24,2.29
518,Nioro,-15.75,13.35,24.45,GM,54,80,1.63
519,São Raimundo Nonato,-42.7,-9.02,24.74,BR,31,58,3.25
520,Qaqortoq,-46.03,60.72,-2.0,GL,91,74,1.0
521,Ketchikan,-131.65,55.34,3.18,US,1,47,1.5
522,Karaton,106.1,-6.34,32.88,ID,20,52,4.6
523,Antalaha,50.28,-14.9,26.12,MG,0,68,4.51
524,Karratha,116.85,-20.74,28.68,AU,0,38,9.0
525,Dorokhovo,36.37,55.55,9.4,RU,40,81,6.0
526,Valencia,-0.83,39.33,13.37,ES,0,67,5.81
527,Khovd,91.64,48.01,9.41,MN,97,44,2.91
528,Verkhoyansk,133.38,67.54,-6.28,RU,98,91,4.78
529,Tautira,-149.15,-17.73,25.78,PF,75,74,2.6
530,Uribia,-72.27,11.71,27.51,CO,100,78,3.84
531,Kokopo,152.26,-4.35,28.38,PG,44,74,1.67
532,Sunrise Manor,-115.07,36.21,18.52,US,75,20,1.5
533,Jacqueville,-4.41,5.21,26.0,CI,40,88,3.1
534,Uray,64.78,60.12,-3.51,RU,33,92,3.99
535,Marystown,-55.15,47.17,4.44,CA,77,100,5.78
536,General Roca,-67.58,-39.03,20.0,AR,0,72,2.6
537,Itacarambi,-44.09,-15.1,21.8,BR,100,83,1.1
538,Baruun-Urt,113.28,46.68,8.27,MN,75,48,5.1
539,Soligalich,42.29,59.08,7.52,RU,94,86,5.44
540,Oktyabr'skoye,44.74,43.06,9.0,RU,0,66,2.0
541,Hirara,125.28,24.8,24.0,JP,75,60,5.7
542,Yerköy,34.47,39.64,18.9,TR,41,30,0.97
543,Kondinskoye,67.41,59.65,-3.5,RU,0,94,3.73
544,Champotón,-90.72,19.35,25.44,MX,100,89,3.37
545,Vostok,135.88,46.49,-2.18,RU,100,100,5.37
546,Prince Rupert,-130.32,54.32,0.0,CA,1,82,2.6
547,Winneba,-0.62,5.35,25.0,GH,40,94,3.1
548,Diré,-10.97,12.28,22.57,ML,0,69,0.92
549,Qandala,49.87,11.47,29.57,SO,57,39,2.99
550,Chivilcoy,-60.02,-34.9,18.33,AR,21,95,1.34
551,Northam,-4.22,51.03,12.58,GB,100,88,7.15
